job_id,company_name,industry,job_title,skills_required,experience_level,employment_type,location,median_salary,posted_date,company_size,tools_preferred
23,"Adams, Stevenson and Wagner",E-commerce,NLP Engineer,"CUDA, FastAPI, Scikit-learn, MLflow, Hugging Face",Mid,Remote,"North Nicholas, SN",111608,25-11-2024,Startup,"PyTorch, Scikit-learn, KDB+"
24,"Thomas, Hurst and Becker",Tech,NLP Engineer,"PyTorch, CUDA, Hugging Face, Flask, C++",Senior,Internship,"Leeton, MW",96719,06-12-2023,Mid,Scikit-learn
25,Sherman-Nguyen,Healthcare,NLP Engineer,"Python, Reinforcement Learning, MLflow",Mid,Internship,"Suzanneview, TW",99767,13-06-2025,Mid,FastAPI
26,Johnson-Keller,Finance,NLP Engineer,"PyTorch, Reinforcement Learning, FastAPI, Power BI, Python, R",Mid,Remote,"Whitestad, BB",117250,20-12-2024,Mid,"FastAPI, PyTorch, KDB+"
27,Le PLC,Education,Quant Researcher,"Azure, Flask, FastAPI, Hugging Face, Power BI, Python",Senior,Internship,"Taraburgh, DZ",60797,02-01-2025,Large,"TensorFlow, Scikit-learn, FastAPI"
28,"Abbott, Nielsen and Young",Healthcare,Data Analyst,"R, Python, Pandas",Entry,Contract,"New Richard, TD",148692,28-02-2025,Startup,"PyTorch, MLflow"
29,Thomas-Ruiz,Finance,Data Analyst,"Flask, Hugging Face, Pandas, Python, Scikit-learn, Keras",Mid,Internship,"South Donaldton, GE",179504,31-01-2025,Startup,"Scikit-learn, FastAPI, LangChain"
30,"Good, Ware and Cruz",Finance,Data Analyst,"Scikit-learn, SQL, Azure",Entry,Contract,"North Michael, TT",116250,07-06-2024,Startup,TensorFlow
31,Gay PLC,Tech,Quant Researcher,"Keras, Excel, TensorFlow",Senior,Full-time,"Port Patriciaport, TG",74513,27-06-2024,Startup,"KDB+, PyTorch"
32,Kirby-Zuniga,Healthcare,Data Scientist,"Hugging Face, Scikit-learn, C++, Excel, Azure",Entry,Full-time,"Danielchester, ID",146069,22-09-2023,Mid,"LangChain, KDB+"
33,"Castillo, Campbell and Robinson",Tech,AI Product Manager,"Keras, PyTorch, AWS, FastAPI, CUDA",Mid,Contract,"Alexandriaburgh, KN",80136,30-09-2024,Startup,"TensorFlow, Scikit-learn"
34,Carter LLC,Finance,NLP Engineer,"MLflow, Keras, SQL, GCP, Power BI",Senior,Internship,"West Charles, TT",146755,25-11-2023,Startup,PyTorch
35,Hall Group,Automotive,Computer Vision Engineer,"GCP, C++, Excel",Entry,Contract,"North Denise, MC",115927,01-04-2024,Large,"TensorFlow, Scikit-learn"
36,Huynh PLC,Finance,Computer Vision Engineer,"PyTorch, LangChain, R",Mid,Remote,"Kirbyside, LT",122060,25-12-2023,Startup,"Scikit-learn, FastAPI, MLflow"
37,"Smith, Haas and Mendez",Retail,AI Researcher,"Excel, SQL, Python",Entry,Contract,"Lake John, AU",120173,16-11-2024,Mid,"Scikit-learn, LangChain, KDB+"
38,"Briggs, Shaw and Berry",E-commerce,ML Engineer,"SQL, Hugging Face, TensorFlow",Mid,Remote,"East Ashleyland, PL",137938,14-05-2025,Startup,MLflow
39,Boyd PLC,Retail,Data Scientist,"PyTorch, Power BI, AWS, FastAPI",Senior,Internship,"Port Misty, NL",111759,10-06-2024,Mid,LangChain
40,"Sanders, Mejia and Townsend",Automotive,Data Analyst,"Power BI, PyTorch, GCP, CUDA, Keras, Scikit-learn",Entry,Internship,"Deleonchester, HN",123785,27-06-2025,Mid,"FastAPI, Scikit-learn, LangChain"
41,Hernandez Inc,E-commerce,Quant Researcher,"NumPy, AWS, Excel, SQL, Keras",Senior,Remote,"Nicoleport, BF",68772,08-02-2025,Mid,"Scikit-learn, TensorFlow, BigQuery"
42,"Parrish, White and Grant",E-commerce,NLP Engineer,"R, Power BI, CUDA, MLflow",Mid,Full-time,"Kimside, BW",136190,10-11-2023,Startup,TensorFlow
43,"Carroll, Lucero and Lambert",Healthcare,AI Product Manager,"NumPy, SQL, Python, Reinforcement Learning, LangChain",Entry,Full-time,"Simsside, TD",144977,05-09-2024,Large,"PyTorch, TensorFlow, FastAPI"
44,"Thomas, Waller and Kelly",Education,Quant Researcher,"Hugging Face, Flask, TensorFlow, Excel, SQL",Entry,Contract,"South Jeremiah, MX",108523,11-03-2025,Large,"TensorFlow, LangChain, PyTorch"
45,"Franklin, Wright and Berg",Automotive,Quant Researcher,"Hugging Face, Pandas, CUDA, LangChain, FastAPI",Mid,Internship,"Ramirezmouth, PK",114761,16-03-2025,Mid,KDB+
46,"Coleman, Gray and Roach",Healthcare,ML Engineer,"LangChain, AWS, GCP",Entry,Internship,"New Rachelmouth, IT",124382,14-02-2025,Startup,"FastAPI, MLflow, TensorFlow"
47,Mooney-Decker,Finance,Data Scientist,"Scikit-learn, PyTorch, Flask, Azure",Mid,Contract,"Jennyland, TR",162948,04-08-2024,Startup,"PyTorch, BigQuery"
48,Wood LLC,Automotive,Computer Vision Engineer,"GCP, TensorFlow, Power BI",Entry,Contract,"Port Johnville, MA",152091,21-02-2025,Mid,"MLflow, BigQuery, LangChain"
49,Copeland Group,Education,NLP Engineer,"TensorFlow, LangChain, PyTorch, Power BI, R",Entry,Remote,"North Josephshire, YE",119857,19-03-2024,Mid,"KDB+, PyTorch, MLflow"
50,Richards PLC,Finance,NLP Engineer,"Power BI, CUDA, C++, Pandas, SQL, AWS",Mid,Full-time,"Lewismouth, TD",98026,07-05-2024,Large,"FastAPI, KDB+, Scikit-learn"
51,"Melendez, Williams and Williamson",E-commerce,AI Product Manager,"TensorFlow, Keras, PyTorch, AWS, Scikit-learn",Entry,Full-time,"Steinside, IT",182412,27-09-2023,Large,BigQuery
52,"Ellis, Crane and Boyle",E-commerce,Computer Vision Engineer,"Azure, Keras, Scikit-learn, Hugging Face, Excel, R",Entry,Contract,"North Jason, MR",118823,30-05-2025,Mid,"LangChain, KDB+, FastAPI"
53,Foley-Moore,Finance,Data Scientist,"Keras, Pandas, Python, FastAPI, CUDA, Scikit-learn",Mid,Contract,"Thomasfort, KG",92091,17-05-2025,Large,MLflow
54,Wright and Sons,Tech,Quant Researcher,"R, SQL, Python, PyTorch",Mid,Full-time,"Chavezstad, TG",95555,09-11-2024,Large,"LangChain, BigQuery, MLflow"
55,Williams-Vargas,Healthcare,Quant Researcher,"Keras, Excel, FastAPI, Azure, R, PyTorch",Senior,Full-time,"Carlland, ME",184756,10-11-2024,Startup,"FastAPI, TensorFlow, BigQuery"
56,Hill-Huff,Tech,ML Engineer,"Power BI, LangChain, Flask, Excel, SQL, CUDA",Senior,Remote,"Jessicamouth, PT",182427,23-04-2025,Startup,"BigQuery, PyTorch, TensorFlow"
57,Meyer PLC,Education,Data Analyst,"AWS, Excel, Azure",Entry,Internship,"Caitlynmouth, MR",89923,16-11-2023,Mid,"LangChain, Scikit-learn, PyTorch"
58,Boyd-Carlson,Retail,ML Engineer,"Excel, AWS, Keras, Azure, FastAPI, R",Senior,Full-time,"Villarrealhaven, KI",104503,11-02-2025,Large,"MLflow, LangChain"
59,Scott-Gardner,Tech,AI Researcher,"FastAPI, C++, Excel, Flask, Pandas",Senior,Remote,"North Laurie, BI",120415,21-06-2025,Large,"FastAPI, PyTorch, LangChain"
60,Jackson Group,Finance,AI Product Manager,"TensorFlow, C++, SQL, Hugging Face, Flask, Power BI",Mid,Internship,"East Juliashire, TR",89858,25-09-2023,Startup,BigQuery
61,"Sullivan, Silva and Sawyer",Finance,Data Analyst,"Power BI, Excel, GCP",Senior,Remote,"North Jonathan, NL",101114,27-06-2024,Mid,MLflow
62,"Page, Bonilla and Cohen",Retail,AI Product Manager,"Python, FastAPI, Scikit-learn, Hugging Face, Power BI, Flask",Entry,Remote,"Port Jacobchester, SB",88546,08-05-2024,Startup,LangChain
63,Young-Wright,Retail,Computer Vision Engineer,"Hugging Face, Keras, Scikit-learn",Mid,Internship,"Kaylaburgh, NO",135166,26-10-2024,Large,"TensorFlow, LangChain"
64,Patel PLC,E-commerce,AI Product Manager,"Reinforcement Learning, LangChain, Python",Entry,Remote,"South Jamie, KM",118082,17-02-2025,Startup,FastAPI
65,"Lopez, Nelson and Meyer",E-commerce,AI Researcher,"Azure, Pandas, Power BI, MLflow",Entry,Internship,"Lake Michelleport, RS",117660,06-01-2025,Startup,"PyTorch, TensorFlow, FastAPI"
66,"Harris, Porter and Walter",Retail,AI Researcher,"C++, Reinforcement Learning, NumPy, Azure, MLflow, Flask",Mid,Contract,"Port Kristenmouth, SA",152621,19-12-2023,Large,"FastAPI, KDB+"
67,Dominguez and Sons,Automotive,AI Product Manager,"LangChain, FastAPI, SQL",Senior,Internship,"Rodriguezstad, ET",165377,08-04-2024,Large,"BigQuery, KDB+"
68,Griffith-Garner,Retail,Data Analyst,"NumPy, Python, Azure, GCP, C++, Scikit-learn",Senior,Remote,"Meredithview, LS",47579,21-12-2024,Startup,PyTorch
69,Smith LLC,Healthcare,Data Analyst,"Power BI, AWS, NumPy, CUDA, MLflow",Mid,Full-time,"South Tylerhaven, LC",161300,09-12-2023,Mid,"LangChain, PyTorch, MLflow"
70,Smith-Jones,Education,Data Analyst,"LangChain, PyTorch, Flask",Mid,Full-time,"South Karenville, BB",103728,15-06-2025,Mid,BigQuery
71,"Maddox, Steele and Jones",Retail,ML Engineer,"Flask, Scikit-learn, NumPy",Entry,Internship,"Billyfort, YE",117900,12-03-2025,Mid,"FastAPI, PyTorch"
72,Williams PLC,Healthcare,Quant Researcher,"SQL, FastAPI, LangChain, Scikit-learn, NumPy, TensorFlow",Senior,Remote,"New Jefferyfort, TG",80348,12-02-2024,Startup,"FastAPI, LangChain"
73,"Hurst, Manning and Wood",Education,Data Analyst,"Azure, Excel, TensorFlow",Senior,Remote,"Petersenborough, VN",128014,02-05-2025,Large,"PyTorch, BigQuery, Scikit-learn"
74,"Howard, Carr and Joseph",Automotive,NLP Engineer,"C++, MLflow, CUDA, Hugging Face",Mid,Internship,"Leeberg, ME",128355,28-11-2023,Large,"MLflow, PyTorch"
75,Lewis-Smith,Automotive,ML Engineer,"MLflow, NumPy, R, C++, PyTorch",Senior,Remote,"North Christopherfurt, LR",171046,09-09-2025,Startup,KDB+
76,Luna and Sons,Automotive,AI Researcher,"R, Python, Flask",Mid,Contract,"Weberland, TL",70477,06-12-2023,Mid,"FastAPI, TensorFlow, PyTorch"
77,King-Sheppard,E-commerce,AI Researcher,"FastAPI, Hugging Face, PyTorch",Mid,Internship,"Zamorafurt, UA",141625,03-07-2025,Startup,PyTorch
78,Meyer-Shaffer,E-commerce,NLP Engineer,"Pandas, Flask, FastAPI, Reinforcement Learning",Mid,Internship,"Sharpborough, DM",59075,21-02-2024,Startup,"LangChain, PyTorch, Scikit-learn"
79,"Ellis, Page and Smith",Tech,Quant Researcher,"Reinforcement Learning, Flask, NumPy, LangChain",Entry,Contract,"North Carriestad, IR",96143,12-10-2024,Startup,LangChain
80,Martinez-Fitzgerald,Healthcare,ML Engineer,"AWS, TensorFlow, Flask, Power BI",Senior,Internship,"South Charles, CI",151712,20-01-2025,Large,KDB+
81,Johnson Inc,Education,AI Researcher,"Reinforcement Learning, Python, Pandas, TensorFlow",Mid,Internship,"Lake Kristen, AZ",138886,03-08-2025,Large,"Scikit-learn, MLflow, PyTorch"
82,Camacho PLC,Finance,Data Analyst,"R, C++, GCP, Hugging Face, LangChain, TensorFlow",Entry,Full-time,"Anthonyland, GQ",165481,14-01-2024,Large,"PyTorch, Scikit-learn, BigQuery"
83,Sweeney-Griffith,Finance,AI Product Manager,"Flask, Azure, C++, Excel",Entry,Internship,"Michaelchester, MK",105674,17-09-2025,Mid,MLflow
84,"Stafford, Owens and Thompson",Education,Data Analyst,"MLflow, Hugging Face, Python, Scikit-learn",Entry,Full-time,"Lake Debra, AM",100062,25-04-2025,Mid,"MLflow, LangChain, KDB+"
85,"Gonzalez, Watts and Thompson",E-commerce,Computer Vision Engineer,"FastAPI, SQL, Flask, CUDA, C++, Scikit-learn",Mid,Contract,"New Danielburgh, RU",59120,01-11-2024,Startup,"FastAPI, LangChain"
86,Graham Group,Tech,Data Analyst,"LangChain, FastAPI, PyTorch, CUDA, AWS",Senior,Full-time,"Lake Melissaville, PL",58237,21-03-2024,Large,"BigQuery, Scikit-learn, MLflow"
87,Ward-Allen,Education,Quant Researcher,"C++, Power BI, NumPy",Mid,Contract,"Jeffreyburgh, SC",132596,10-09-2024,Large,"LangChain, BigQuery"
88,"Garrett, Hernandez and Anderson",Finance,Quant Researcher,"FastAPI, Scikit-learn, LangChain",Mid,Internship,"Whiteville, SE",181715,16-11-2023,Mid,"LangChain, MLflow"
89,Long Inc,Finance,AI Researcher,"Flask, Python, Power BI, CUDA",Entry,Internship,"Jacksonmouth, UZ",105001,23-03-2025,Startup,"FastAPI, LangChain, BigQuery"
90,Cummings-Nash,Finance,AI Researcher,"Python, SQL, C++, FastAPI",Entry,Internship,"Adamton, HR",149552,17-10-2023,Startup,"KDB+, LangChain"
91,"Sawyer, Donovan and Vargas",Automotive,NLP Engineer,"TensorFlow, Power BI, FastAPI, LangChain, Scikit-learn, Python",Mid,Contract,"Lake Erica, NL",113658,19-10-2023,Mid,"BigQuery, KDB+, LangChain"
92,"Stewart, Gutierrez and Simpson",Tech,Data Scientist,"GCP, LangChain, Keras",Entry,Internship,"South Paige, VC",90755,21-03-2025,Large,"LangChain, FastAPI, Scikit-learn"
93,Jones-Marshall,Finance,NLP Engineer,"Excel, TensorFlow, Pandas, CUDA",Entry,Remote,"Scottberg, MG",149430,26-08-2025,Startup,"MLflow, FastAPI, TensorFlow"
94,Murphy-Rosales,Education,NLP Engineer,"FastAPI, PyTorch, CUDA, Flask, Scikit-learn",Mid,Remote,"West Jesse, NG",151115,13-07-2025,Large,"LangChain, BigQuery"
95,Solis-Thornton,Healthcare,ML Engineer,"Hugging Face, Python, FastAPI, CUDA, GCP",Entry,Full-time,"East Autumn, AM",124819,10-10-2024,Mid,"LangChain, BigQuery"
96,Michael Ltd,Healthcare,Computer Vision Engineer,"PyTorch, MLflow, Scikit-learn, Excel, Pandas",Senior,Full-time,"Maldonadoville, PL",115785,09-08-2025,Startup,LangChain
97,Alexander and Sons,Education,AI Researcher,"Pandas, R, FastAPI, AWS, MLflow, Python",Senior,Full-time,"Richardside, PY",158743,15-11-2024,Startup,"LangChain, FastAPI"
98,"Travis, Fletcher and Rodriguez",Finance,Computer Vision Engineer,"Python, SQL, Power BI, Scikit-learn, FastAPI",Mid,Contract,"Port Julieburgh, KW",177820,18-12-2023,Large,"FastAPI, KDB+, LangChain"
99,Lozano-Hill,Healthcare,Data Analyst,"Keras, NumPy, Excel, C++, Pandas",Entry,Contract,"South Stephanieville, BS",152145,22-05-2024,Large,"TensorFlow, BigQuery"
100,"Farmer, Leach and Norris",Retail,Computer Vision Engineer,"Keras, Power BI, MLflow, AWS",Mid,Contract,"Williamsbury, DO",153026,03-09-2025,Mid,TensorFlow
101,Price-Nichols,Healthcare,ML Engineer,"Pandas, MLflow, Hugging Face, SQL",Entry,Contract,"South Fredview, PL",92459,22-07-2025,Startup,TensorFlow
102,"Gonzalez, Jackson and Williams",Retail,Data Scientist,"Hugging Face, LangChain, Azure, Scikit-learn, Flask",Senior,Internship,"Heatherport, DO",123146,09-08-2025,Large,"KDB+, BigQuery, MLflow"
103,"Dodson, Palmer and Huber",Education,Quant Researcher,"Python, Pandas, NumPy, MLflow",Entry,Full-time,"Alejandromouth, CU",144737,26-02-2025,Mid,KDB+
104,Morris-Sanchez,Finance,Data Scientist,"Power BI, GCP, Scikit-learn",Senior,Internship,"New James, CR",151409,21-03-2025,Mid,TensorFlow
105,Cobb-Lindsey,E-commerce,NLP Engineer,"FastAPI, TensorFlow, NumPy, AWS, Azure",Entry,Contract,"West Madison, QA",153110,19-11-2024,Mid,"LangChain, Scikit-learn"
106,Ramirez-Goodwin,Automotive,Computer Vision Engineer,"CUDA, Pandas, GCP, LangChain, Azure, TensorFlow",Mid,Full-time,"Tanyachester, TW",88148,04-04-2025,Mid,"KDB+, MLflow"
107,Duran PLC,Healthcare,Computer Vision Engineer,"Keras, GCP, SQL",Senior,Remote,"New David, EG",123077,03-10-2023,Mid,"BigQuery, FastAPI"
108,Kaiser Group,Tech,AI Product Manager,"Power BI, FastAPI, Reinforcement Learning, SQL, Keras, AWS",Senior,Contract,"South Patricktown, NO",144219,30-03-2025,Large,"TensorFlow, Scikit-learn, MLflow"
109,Garcia PLC,Education,ML Engineer,"AWS, Hugging Face, Flask, CUDA",Mid,Contract,"Sanfordmouth, GW",138258,06-02-2024,Large,BigQuery
110,Steele-Norman,Healthcare,Quant Researcher,"Azure, MLflow, Excel, CUDA",Mid,Contract,"Elainefurt, BS",64980,20-06-2024,Mid,Scikit-learn
111,Garcia Ltd,Education,AI Researcher,"SQL, Flask, NumPy, Power BI, Excel",Entry,Remote,"Brownstad, LU",80323,08-09-2024,Large,KDB+
112,Hill LLC,Healthcare,AI Researcher,"GCP, Azure, Reinforcement Learning, TensorFlow, CUDA, FastAPI",Mid,Contract,"Lake Christopher, QA",125919,24-07-2024,Large,Scikit-learn
113,"Morales, Thomas and Miller",Healthcare,NLP Engineer,"Python, FastAPI, R",Mid,Full-time,"Millermouth, GY",146612,28-08-2024,Mid,"MLflow, Scikit-learn, FastAPI"
114,Kelly-Novak,Finance,Data Scientist,"Scikit-learn, Pandas, GCP, Python, R",Entry,Full-time,"Nicoleside, AD",90889,20-05-2025,Mid,KDB+
115,Martin-Hernandez,Tech,Quant Researcher,"AWS, Python, GCP, R, C++, FastAPI",Senior,Remote,"North Patrick, KE",152504,17-06-2025,Startup,"Scikit-learn, TensorFlow"
116,Price-Dean,Education,NLP Engineer,"NumPy, LangChain, Excel, Keras",Entry,Full-time,"Dennistown, IQ",176788,17-03-2024,Large,MLflow
117,Ruiz Inc,Automotive,Data Analyst,"NumPy, Scikit-learn, Keras, TensorFlow, Hugging Face, Excel",Entry,Contract,"Rodriguezfurt, LI",112398,07-05-2025,Large,"LangChain, KDB+"
118,"Hudson, Burton and Campbell",E-commerce,Data Analyst,"TensorFlow, R, Hugging Face",Mid,Internship,"Sullivanburgh, BJ",96386,05-04-2024,Startup,Scikit-learn
119,Roberson Inc,Automotive,NLP Engineer,"Python, Power BI, Pandas, MLflow, Keras, Scikit-learn",Mid,Contract,"New Justin, ZW",170122,01-01-2024,Mid,"MLflow, PyTorch, FastAPI"
120,Gutierrez PLC,Retail,NLP Engineer,"PyTorch, GCP, NumPy, Python, Pandas, Keras",Entry,Contract,"West Fredside, PW",72108,10-08-2025,Mid,"TensorFlow, KDB+, BigQuery"
121,"King, Chambers and Brown",Retail,AI Researcher,"SQL, Excel, Python",Mid,Remote,"Eriktown, GT",132648,08-10-2024,Mid,"Scikit-learn, MLflow"
122,Shannon LLC,Finance,AI Researcher,"GCP, Keras, Azure, SQL, Scikit-learn, NumPy",Entry,Contract,"Port Robert, TR",115469,10-07-2024,Large,BigQuery
123,Thompson-Norris,Finance,Computer Vision Engineer,"Azure, TensorFlow, PyTorch, AWS, Flask",Senior,Contract,"Davidfort, CU",115498,08-10-2024,Startup,"KDB+, MLflow"
124,Davis and Sons,E-commerce,Quant Researcher,"Hugging Face, Power BI, SQL, FastAPI, C++, Reinforcement Learning",Mid,Internship,"Carrollland, SE",123186,31-10-2023,Large,KDB+
125,"Reed, Garcia and French",E-commerce,NLP Engineer,"Keras, CUDA, TensorFlow",Mid,Full-time,"West Richardborough, BE",151142,03-08-2025,Startup,"BigQuery, TensorFlow"
126,Anderson-Cruz,Tech,Computer Vision Engineer,"SQL, AWS, Power BI",Mid,Remote,"Jasonshire, TH",121849,07-04-2025,Large,PyTorch
127,King PLC,Finance,Quant Researcher,"NumPy, CUDA, Scikit-learn, Keras, Excel, Pandas",Mid,Contract,"East Sheriton, SV",153136,10-03-2024,Large,Scikit-learn
128,Baker-Gomez,Finance,AI Product Manager,"NumPy, PyTorch, FastAPI, CUDA, Azure",Entry,Remote,"Sarahview, SE",135745,22-11-2024,Large,"LangChain, KDB+"
129,"Patterson, Bruce and Herring",Retail,NLP Engineer,"Keras, Pandas, MLflow, Scikit-learn",Mid,Remote,"Davechester, LR",177945,31-12-2024,Mid,"PyTorch, KDB+, LangChain"
130,Jackson Inc,Education,Data Analyst,"MLflow, NumPy, Scikit-learn, Azure, Keras",Senior,Internship,"Allenton, UG",107496,11-03-2025,Startup,Scikit-learn
131,"Thompson, Lewis and Gonzalez",E-commerce,NLP Engineer,"AWS, Hugging Face, Python, Reinforcement Learning, Scikit-learn, LangChain",Entry,Internship,"Westland, KM",123540,23-09-2024,Large,BigQuery
132,Mclean Inc,Healthcare,NLP Engineer,"Keras, Pandas, TensorFlow, CUDA",Mid,Remote,"Shermanshire, MM",71013,09-02-2025,Large,"KDB+, FastAPI"
133,Moore Inc,Automotive,AI Researcher,"Power BI, CUDA, Scikit-learn",Senior,Contract,"Jamesborough, GB",163806,23-04-2025,Mid,"BigQuery, LangChain, FastAPI"
134,Flores-Dalton,Automotive,AI Researcher,"CUDA, Reinforcement Learning, TensorFlow, Power BI, FastAPI, LangChain",Senior,Internship,"East Edward, MV",102041,01-09-2025,Mid,TensorFlow
135,Nguyen and Sons,Healthcare,Data Analyst,"C++, MLflow, TensorFlow, NumPy, Excel, R",Entry,Full-time,"Youngborough, CF",157674,29-02-2024,Mid,"PyTorch, FastAPI"
136,Russell Inc,Finance,NLP Engineer,"Excel, CUDA, GCP, Scikit-learn, Python",Senior,Remote,"Morrowview, RS",151506,30-12-2024,Mid,PyTorch
137,Castillo and Sons,Education,Computer Vision Engineer,"NumPy, MLflow, R, C++",Mid,Full-time,"North Sheilamouth, JP",165074,02-09-2024,Mid,"FastAPI, PyTorch, TensorFlow"
138,Price PLC,Finance,AI Product Manager,"AWS, GCP, R, Power BI",Senior,Contract,"Randallside, CZ",161282,05-03-2024,Startup,"BigQuery, Scikit-learn"
139,"Payne, Vasquez and Arnold",Healthcare,AI Product Manager,"Azure, Hugging Face, C++, Scikit-learn, Flask, Pandas",Mid,Full-time,"Danielfurt, GW",129108,14-01-2024,Large,"LangChain, PyTorch, MLflow"
140,Roth LLC,Retail,Data Analyst,"SQL, AWS, Pandas, PyTorch, LangChain, C++",Senior,Contract,"Royville, BG",168770,26-08-2025,Startup,BigQuery
141,Bryant and Sons,Automotive,Quant Researcher,"AWS, Pandas, NumPy, LangChain, GCP, Flask",Entry,Contract,"Port Allisonfurt, SN",85622,07-06-2025,Large,"Scikit-learn, TensorFlow"
142,"Morris, Williams and Campbell",Healthcare,ML Engineer,"C++, PyTorch, NumPy, LangChain, AWS, Keras",Mid,Remote,"South Heatherside, KZ",93267,14-05-2024,Startup,TensorFlow
143,Perez Ltd,Healthcare,AI Product Manager,"MLflow, LangChain, Power BI, Scikit-learn, Pandas",Entry,Remote,"West Susan, NG",167987,04-04-2025,Large,"FastAPI, KDB+"
144,Smith-Hernandez,Education,Data Scientist,"NumPy, TensorFlow, GCP, LangChain",Mid,Contract,"Shelbyberg, AO",87614,05-01-2024,Startup,"Scikit-learn, KDB+"
145,"Barber, Green and Fernandez",Retail,Data Analyst,"Scikit-learn, PyTorch, Python, GCP",Entry,Contract,"Ryanberg, MD",80851,30-07-2024,Mid,"MLflow, KDB+"
146,"Baker, Nichols and Chen",Education,ML Engineer,"LangChain, Keras, Hugging Face, Scikit-learn, Reinforcement Learning",Entry,Contract,"West Carloston, CO",103029,10-03-2025,Large,"BigQuery, MLflow, Scikit-learn"
